Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Selic;01/03/2027;08/04/2022;0,18;0,19;11442,33;11431,64;11431,64
Tesouro Selic;01/03/2025;27/05/2022;0,12;0,13;11676,77;11667,94;11667,94
Tesouro Prefixado com Juros Semestrais;01/01/2027;27/05/2022;12,22;12,34;967,22;963,05;963,05
Tesouro IPCA+;15/08/2024;27/05/2022;5,78;5,9;3502,18;3490,65;3490,65
Tesouro IPCA+;15/05/2045;27/05/2022;5,69;5,81;1117,05;1087,54;1087,54
Tesouro IPCA+ com Juros Semestrais;15/08/2032;27/05/2022;5,62;5,74;4148,22;4108,85;4108,85
Tesouro Prefixado com Juros Semestrais;01/01/2023;08/06/2022;13,48;13,6;1025,11;1024,01;1024,01
Tesouro Prefixado;01/01/2025;08/06/2022;12,81;12,93;734,53;732,18;732,18
Tesouro Prefixado com Juros Semestrais;01/01/2029;08/06/2022;12,92;13,04;923,03;918,05;918,05
Tesouro IPCA+ com Juros Semestrais;15/08/2024;08/06/2022;5,84;5,96;4060,31;4049,25;4049,25
Tesouro IPCA+;15/08/2026;08/06/2022;5,56;5,68;3168,19;3151,9;3151,9
Tesouro Prefixado com Juros Semestrais;01/01/2033;08/06/2022;12,98;13,1;881,91;875,77;875,77
Tesouro IPCA+ com Juros Semestrais;15/05/2045;08/06/2022;5,88;6;4055,49;3995,45;3995,45
Tesouro IGPM+ com Juros Semestrais;01/01/2031;08/06/2022;5,66;5,78;9431,75;9365,18;9365,18
Tesouro IPCA+ com Juros Semestrais;15/05/2055;08/06/2022;5,92;6,04;4043,61;3974,73;3974,73
Tesouro IPCA+ com Juros Semestrais;15/08/2026;08/06/2022;5,59;5,71;4105,37;4086,48;4086,48
Tesouro Selic;01/03/2023;08/06/2022;0,03;0,04;11756,78;11750,32;11750,32
Tesouro Selic;01/09/2024;08/06/2022;0,1;0,11;11734,59;11726,35;11726,35
Tesouro Prefixado com Juros Semestrais;01/01/2031;08/06/2022;12,94;13,06;900,9;895,24;895,24
Tesouro IPCA+;15/05/2035;08/06/2022;5,81;5,93;1918,58;1889,98;1889,98
Tesouro Prefixado;01/01/2023;08/06/2022;13,47;13,59;931,26;930,24;930,24
Tesouro Prefixado;01/07/2024;08/06/2022;13,06;13,18;778,13;776,06;776,06
Tesouro Prefixado;01/01/2029;08/06/2022;12,89;13,01;452,53;449,18;449,18
Tesouro Prefixado com Juros Semestrais;01/01/2025;08/06/2022;12,88;13;984,71;981,91;981,91
